#################
# FRESCO OIII emitter catalogue v1
# name: GOODS fields identifier (GN/GS) and ID from the FRESCO grizli data reduction v7.3 
# ra, dec: coordinates of the source in the F210M+F444W image from the FRESCO grizli data reduction v7.3 (also see further Weibel+2024)
# q_mean : Visual inspection quality flag, averaged to half-integer over 4 inspections
# z : redshift of the OIII emitter
# flux_*, err_* : grizli best-fit line flux and error using a fixed redshift in cgi units [erg/s/cm**2]
# muv, muv_err_84, muv_err_16: rest-frame UV magnitude [AB] and 16-84 percentiles error from the best-fit Prospector model (see Naidu+, in prep.)
# f_f444w, e_f444w: F444W flux and error in nJy from the FRESCO grizli data reduction v7.3. PSF-matched, aperture-corrected fluxes and errors with 5% error floor (also see further Weibel+2024 for details on the imaging data reduction)
# mag_det_img : magnitude in the detection image (F210+F444W), necessary for completeness correction
#################
# name   ra          dec         q_mean z                  flux_HB                err_HB                 flux_4960              err_4960               flux_5008              err_5008               muv    muv_84               muv_16                f_f444w            e_f444w            mag_det_img       
  gn_169   189.2357313 62.3283521  1.5    7.001320758357879  1.0631717452338836E-18 3.5768390817256837E-19 3.73481963264038E-19   1.753644492004638E-19  1.4083179061544038E-18 1.8073397621259637E-19 -19.44 0.15000000000000213  -0.129999999999999    39.501927413885504 7.0643236741823765 27.632921189274427
  gn_617   189.1873613 62.3188374  2.0    7.001320758357879  0.0                    0.0                    7.578275058380864E-19  1.930850971649882E-19  2.0692535702333035E-18 1.3313026997745773E-19 -19.89 0.10999999999999943  -0.07000000000000028  94.70922274326614  8.6945144156804    26.593765661261344
  gn_620   189.1875374 62.3187652  2.0    6.98695215090165   0.0                    0.0                    9.39952567955183E-19   1.6584001795203803E-19 2.940646614144036E-18  1.214524966957218E-19  -19.09 0.21000000000000085  -0.17999999999999972  45.78276074493382  9.939971423093175  27.417267602423962
  gn_849   189.2220059 62.3157641  1.5    7.601629465485276  1.8222494221061664E-20 2.283375777751557E-19  2.1363489405139438E-19 2.3672716081905486E-19 1.802637474434032E-18  2.279584372231188E-19  -20.07 0.07000000000000028  -0.07000000000000028  69.41696521261217  6.751436069760727  27.010682136660435
  gn_857   189.2621729 62.3156548  3.0    7.004916947254349  1.0175321873251043E-18 6.702575482272555E-19  2.0826948473100667E-18 3.446265225788416E-19  6.861992315138288E-18  3.5901269123403635E-19 -20.02 0.05999999999999872  -0.07000000000000028  156.385486081977   7.8908555594495935 26.514910098364012
  gn_1129  189.2123139 62.3124002  2.5    7.037355466469549  2.3531229612577123E-20 3.114351472811226E-19  1.3968263025199871E-18 2.58174981284173E-19   2.3340938060659016E-18 2.318279818890822E-19  -19.78 0.10000000000000142  -0.07000000000000028  84.21867756776201  7.3713735437324726 27.05235376873561 
  gn_1160  189.2439261 62.3121266  2.0    7.073552456262574  8.465255543378861E-20  3.3019886338181606E-19 1.1287968635830593E-18 3.005968287906982E-19  3.5918160393288865E-18 3.062199687800637E-19  -19.83 0.08999999999999986  -0.11000000000000298  102.75483205803462 7.983582204372255  26.725416860026222
  gn_1200  189.2177246 62.3117815  2.5    8.900618756496693  1.460650499408598E-19  2.587626817945897E-19  1.2792467544524827E-18 2.694328384188708E-19  3.559896095009237E-18  3.0033396727107005E-19 -20.04 0.129999999999999    -0.10999999999999943  -99.0              -99.0              26.99160071119289 
  gn_1244  189.2243944 62.311365   3.0    7.62097680132457   8.234418652283159E-19  2.8199651293513224E-19 1.8330862576462424E-18 2.6163127965102595E-19 6.157871811236099E-18  2.981345614115104E-19  -20.36 0.10999999999999943  -0.07000000000000028  111.84393834314766 7.6848838143636575 26.452794488712385
  gn_1245  189.2244882 62.3112805  2.5    7.609363184125202  1.079689690486506E-18  4.0429144909033243E-19 2.548577704305583E-18  3.8700516549148565E-19 8.571101944160386E-18  4.246860821171398E-19  -20.49 0.129999999999999    -0.11000000000000298  204.69142389894978 15.05052765562554  25.93655764694483 
  gn_2203  189.1579764 62.3023983  3.0    7.505542119781412  2.138871827614357E-18  2.216319284546953E-19  3.106735147304134E-18  2.415887515280917E-19  1.0331154037509264E-17 2.6163134386213865E-19 -21.15 0.04999999999999716  -0.060000000000002274 311.2338063077693  15.561690315388468 25.659621701751103
  gn_2204  189.1577907 62.3023434  3.0    7.501721031889387  1.7963100210773688E-18 2.7869664269880365E-19 2.7888011554026116E-18 2.997078470961319E-19  8.879160550696554E-18  3.265213371552793E-19  -20.76 0.08999999999999986  -0.05999999999999872  287.03946404803    14.351973202401503 25.92623477824694 
  gn_2612  189.2096001 62.2992831  2.0    7.030135565641594  3.149255121363499E-19  3.024957655803959E-19  3.534788161849455E-19  2.1688938208825123E-19 8.529181119865416E-19  2.2100719849573964E-19 -19.14 0.14000000000000057  -0.09999999999999787  46.66547704795165  8.069773666845762  27.78898278346583 
  gn_2916  189.1986068 62.2970416  2.5    7.033744705013028  1.4330983339801248E-18 5.364014539252879E-19  1.2216152947319416E-18 3.962467386808849E-19  3.5698801911878555E-18 3.8686337563607564E-19 -18.34 0.35999999999999943  -0.1999999999999993   161.8739890068029  8.194447554800695  26.7017410839971  
  gn_3317  189.2899269 62.2939862  3.0    7.391653070176753  1.0905647991330171E-18 2.9287634520004666E-19 1.763184598572848E-18  3.005737368944895E-19  6.483393331860522E-18  3.0360451192468817E-19 -20.7  0.0799999999999983   -0.08000000000000185  206.56503711447627 10.328251855723813 26.035003492986288
